Current <br> Reading <br> 01/25/18 <br> (Actual) <br> 3488,Previous <br> Reading <br> 12/28/17 <br> 3488,Usage <br> COP,Pressure <br> Factor,$\begin{aligned} & \text { B7U } \\ & \text { Factor } \end{aligned}$,$\begin{aligned} & \text { Theme } \\ & 674.18 \end{aligned}$,Avg. Daily <br> Theme,Avg. Daily <br> Theme
,,,,,,2017,2018
,,,,,,38.23,34.88
