NETER READING INFORMATION,,,,
NETER 35035027N - Multiplier $\times 400$,,,Read Date: 11/17/23 - 12/20/23 (23 Day),
DESCRIPTION,CURRENT READING,PREVIOUS READING,MEASURED <br> USAGE,BILLED <br> USAGE
Total Energy,363 Actual,172 Actual,188,75200 kWh
Demand,Actual,,,136 kW
Biltable Demand,,,,136 kW
