METER READING INFORMATION,,,
METER 10023023,,Read Dates: 11/17/23 - 12/20/23 (33 Days),
DESCRIPTION,CURRENT READING,PREVIOUS READING,USAGE
Total Energy,6013 Actual,2778 Actual,3235 ccf
