Electric Distribution Company,Emergency Contact Number,Customer Service Number
Atlantic City Electric,800.833 .7476,800.642 .3780
Jersey Central Power \& Light (JCP\&L),800.662 .3115,800.662 .3115
Public Service Electric \& Gas (PSE\&G),800.436 .7734,800.436 .7734
Rockland Electric Company (O\&R),877.434 .4100,877.434 .4100
