Contracts for Difference (CfD),,,,,,
Forecast Pansthrough Involved $\otimes$ NSP,01/11/2023,30/11/2023,144788.5,,,
,,,KWh,,,
Contracts for Difference - reconciliation,,,,,,
Forecast Pansthrough charges previously,,,,,,
Involved $\otimes$ NSP,01/09/2021,30/09/2021,160236.7,,,
,,,KWh,,,
Estimate charges $\otimes$ NSP,01/09/2021,30/09/2021,150236.7,,,
,,,KWh,,,
Total CffD charge,,,,,,"$£ 3,577.65$"
