Climate Change Levy,,,,,,
Charge description,CCL applied,Start,End,Quantity,Price,VAT rate,Net total
Electricity Climate Change Levy,$100 \%$,$01 / 11 / 2021$,$30 / 11 / 2021$,"$\begin{aligned} & 158,773.1 \\ & \text { kWh } \end{aligned}$",$\begin{aligned} & 0.00778 \text { E } / \\ & \text { kWh } \end{aligned}$,STD,E1.307.24
Total CCL charges,,,,,,E1.207.24
Total charges for this meter point excluding VAT,,,,,,E1.0.889.96
