Charge description,Start,End,Quantity,Price,VAT rate,Net total
Capacity Market (CM),,,,,,
Estimated annual capacity volume (EACV),,,"126,836.00 <br> kWh",,,
Obligation Levy Forecast Passthrough for period,01/11/2021,30/11/2021,10424.898 <br> kWh,6.3660000 <br> p/kWh,STD,£559.40
Operational charge Forecast Passthrough (pvoiced @ NBP,01/11/2021,30/11/2021,"172,429.8 <br> kWh",0.00265 <br> p/kWh,STD,$£ 4.57$
