Start,End,Quantity,Price,VAT rate,Net total
,,,"33,096.90 <br> kWh",,
01/11/2021,30/11/2021,3720.276 <br> kWh,5.3660000 <br> p/kWh,STD,E145.97
01/11/2021,30/11/2021,"38,885.8 kWh",0.00260 <br> p/kWh,STD,E1.03
