Charge description,Start,End,Quantity,Price,VAT rate,Net total
Capacity Market (CM),,,,,,
Estimated annual capacity volume (EACV),,,"104,362.80 kWh",,,
Obligation Levy Forecast Palsthrough for period,01/11/2021,30/11/2021,8577.712 kWh,"5,3660000 pVWh",STD,£660.28
Operational charge Forecast Palsthrough Invoced @ NBP,01/11/2021,30/11/2021,"153,199.1 kWh","8,00265 <br> pVWh",STD,£4.06
