Charge description,Start,End,Quantity,Price,VAT rate,Net total
Capacity Market (CM),,,,,,
Estimated annual capacity volume (CACV),,,"13,608.00 <br> kWh",,,
Obligation Levy Forecast Passthrough for period,01/11/2021,30/11/2021,1322.624 <br> kWh,"5,3660000 <br> p/kWh",STD,660.24
Operational charge Forecast Passthrough,01/11/2021,30/11/2021,"25,480.0 kWh","8,00265 <br> p/kWh",STD,60.68
