KWh,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2022,,,,,,,,,"135,399","363,297","331,121","327,654"
2023,"324,666","294,470","338,965","327,179","356,145","396,328","430,103","418,011","381,253","365,264","331,121","326,176"
2024,"326,176","305,361","335,634","330,618","356,145","390,800","435,848","415,562","381,253","367,211","329,425","327,654"
2025,"326,176","294,470","335,634","330,618","354,226","393,414","435,948","413,114","258,734",,,
