12000,18560,18880,18120,11520,12360,12800,14400,13440,9800,5760,6840,13560
JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL
$75^{\circ}$,$81^{\circ}$,$78^{\circ}$,$75^{\circ}$,$55^{\circ}$,$39^{\circ}$,$37^{\circ}$,$35^{\circ}$,$37^{\circ}$,$49^{\circ}$,$54^{\circ}$,$63^{\circ}$,$78^{\circ}$
