GAS M E E,,,,,,
READ TYPE,METER N UMBER,CURRENT METER READ PREVIOUS METER READ,PREVIOUS METER READ,READ DIFFERENCE,M ULTI PLIER,USAGE
Total Therm,01302055,54407.0000 A ctual,54329.0000 A ctual,78.0000,10.0000,780.0000
