Average Daily Electric Gas (kWh),,,,,,,,,,,,
TIME PERIOD,,,,,AVG. DAILY USE,,,,,,,
CURRENT MONTH,,,,,452.00 kWh,,,,,,,
LAST MONTH,,,,,220.65 kWh,,,,,,,
LAST YEAR,,,,,400.00 kWh,,,,,,,
