Svc Addr: OLD BRICKVARD LN KENSIINGTON CT 06037,,,,,
Note 115 Serv Rel: 543612002,"Bill Dyelo, 20",,,,
Service From: 12/01/23 - 01/02/24,32 Days,,,,
Number of Devices,,,Unmetered Usage,,
0001,,,1 kWh,,
