,Usage,Energy Charges
Peak ${ }^{1}$,20.92\%,$\$ 183.06$
Part Peak ${ }^{2}$,12.28\%,$\$ 99.97$
Off Peak ${ }^{3}$,66.80\%,$\$ 514.33$
Super Off Peak ${ }^{4}$,0.00\%,$\$ 0.00$
