Monthly service charge,$\$ 5.04$
Charges for delivering electric to you:,
Annual Demand,5.100 kW x \$5.301961 \$27.04
The highest Measured Demand in any time period in the current month.,
Summer Demand,5.100 kW x \$10.037255 \$51.19
The Measured Demand (excluding off-peak) in each billing month of June through September.,
kWh charges,"1,907 kWh x \$0.011148 \$21.26"
Societal Benefits,"1,907 kWh x \$0.010414 \$19.86"
"This charge recovers the cost of government mandated programs designed to achieve public policy goals, such as energy conservation.",
Total electric delivery charges,$\$ 124.39$
Supply charges,
BGS Capacity,
Generation,4.120 kW x \$1.740291 \$7.17
Transmission,3.721 kW x \$13.294813 \$49.47
Cost of electric supplied by PSE\&G:,
Charges,
For the first,572 kWh x \$0.073252 \$41.90
For the next,"1,335 kWh x \$0.064562 \$86.19"
Total electric supply charges,$\$ 184.73$
