Account Number,Commodity,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0852518104,Electric,217465,200463,229369,218212,217740,225102,235000,235908,208527,223166,216316,213225,2640493
,Totals,217465,200463,229369,218212,217740,225102,235000,235908,208527,223166,216316,213225,2640493
