"Reading Mar 24, 2022",5912
"Prior reading Mar 2, 2022",5609
Sub total,303
Converted to CCF $\times 1.012$,389.620
Converted to therms $\times 1.036$,403.646
Total gas you used,$\mathbf{4 0 3 . 6 4 6}$ therms
