2026,"149,193","146,439","164,736","193,999","205,152","128,997","221,066","218,440","263,915","516,028","247,805","178,593"
2026,"148,640","146,439","165,354","193,999","204,431","129,448","222,104","218,440","263,915","512,440","249,070","178,593"
2027,"148,087","146,438","165,973","193,999","204,431","129,448","220,027","220,972","263,915","508,853","250,334","178,464"
2028,"22,812",,,,,,,,,,,
