ACCOUNT BALANCE,,,
Previous Balance,,,23.94
Payment Received on FEB 13 (Check),,7HANK YOU,$-23.94$
Payment Received on JAN 21 (Check),,7HANK YOU,$-23.82$
Balance Forward,,,$-23.82$
Current Charges,,,$+44.75$
Amount Due,,,\$ 20.93
