SURVEY OF CURRENTH,,,,
,DELIVERY SERVICES,SUPPLY SERVICES,OTHER CHARGES/ ADJUSTMENTS,TOTAL
Gas Service,"1,770.41","2,901.99",,"4,672.40"
Other Charges/Adjustments,,,162.26,162.26
Total Current Charges,"\$ 1,770.41","\$ 2,901.99",\$ 162.26,"\$ 4,634.66"
