Case Usage History,,,
Month,Themes,Month,Themes
Feb 18,715,Sep 18,00
Mar 18,540,Oct 18,00
Apr 18,585,Nov 18,140
May 18,313,Dec 18,280
Jun 18,65,Jan 19,500
Jul 18,00,Feb 19,658
Aug 18,00,,
