Svc Addr: 1857 BERLIN TPKE,,,,,
BERLIN CT 06037,,,,,
Serv Re: 188-112008,,,Bill Cycle: 09,,
Service from 11/09/23 - 12/12/23,,,33 Days,,
"Next read date on or about: Jan 12, 2024",,,,,
Meter <br> Number,Current <br> Read,Previous <br> Read,Current <br> Usage,,Reading <br> Type
889900242,22746,18551,4195,,Actual
