Meter \# 4442521,Usage
"Actual reading Apr 28, 2021",191808
,182594
Difference,"9,214"
Converted to CCF $\times 1.007$,"9,278.498"
Converted to therms $\times 1.037$,"9,621.802"
Total gas you used in 30 days,"9,621.802 therms"
