METER READING INFORMATION,,,
METER 10609815,,Read Dates: 02/10/20 - 04/06/20 (29 Days),
DESCRIPTION,CURRENT READING,PREVIOUS READING,USAGE
Total Energy,626275 Actual,618030 Actual,8245 ccf
Demand PDQ,,,103.20 Dth
