METER 73453252 - Multiplier $\times 40$,,,Read Dates: 03/09/20,04/09/20 (31 Days)
DESCRIPTION,CURRENT READING,PREVIOUS READING,MEASURED <br> USAGE,BILLED <br> USAGE
Total Energy,5810 Estimate,5675 Actual,135,5400 kWh
Demand,Actual,,,8.84 kW
Billable Demand,,,,9 kW
