Gas Meter Read for 06/19/2017 - 07/20/2017 (31 days),,,,,,
READ TYPE,METER NUMBER,CURRENT METER READ PREVIOUS METER READ,READ DIFFERENCE,MULTIPLIER,USAGE
Total Therm,01609567,8118.0000 Actual,7632.0000 Actual,486.0000,1.1130,540.9100
