Gas Meter Read for 09/06/2017 - 10/05/2017 (29 days),,,,,,
READ TYPE,METER NUMBER,CURRENT METER READ PREVIOUS METER READ,,READ DIFFERENCE MULTIPLIER,,USAGE
Total Therm,01537420,394.0000 Actual,283.0000 Actual,111.0000,1.1130,123.5400
