Total kWh,,64347.0000,On-Peak kWh,,27955.0000
Off-Peak kWh,,36392.0000,Peak kW,,165.9000
On-Peak kW,,165.9000,Off-Peak kW,,157.6000
12 Month Max Demand,,276.1000,,,
