Gas Meter Read for 07/20/2017 - 08/16/2017 (27 days),,,,,,
READ TYPE,METER NUMBER,CURRENT METER READ PREVIOUS METER READ,READ DIFFERENCE,MULTIPLIER,USAGE
Total Therm,01609567,8545.0000 Actual,8118.0000 Actual,427.0000,1.1130,475.2500
