Total kWh,,71591.0000,On-Peak kWh,,28196.0000
Off-Peak kWh,,43395.0000,Peak kW,,228.1000
On-Peak kW,,228.1000,Off-Peak kW,,145.2000
12 Month Max Demand,,276.1000,,,
