Gas Meter Read for 08/16/2017 - 09/15/2017 (30 days),,,,,,
READ TYPE,METER NUMBER,CURRENT METER READ PREVIOUS METER READ,READ DIFFERENCE,MULTIPLIER,USAGE
Total Therm,01609567,9005.0000 Actual,8545.0000 Actual,460.0000,1.1130,511.9800
