READ TYPE,METER NUMBER,CURRENT METER READ,PREVIOUS METER READ,READ DIFFERENCE,MULTIPLIER,USAGE
Total kWh,15313722,64347.0000 Estimate,0.0000 Estimate,64347.0000,1.0000,64347.0000
On Peak kWh,15313722,27955.0000 Estimate,0.0000 Estimate,27955.0000,1.0000,27955.0000
Off Peak kWh,15313722,36392.0000 Estimate,0.0000 Estimate,36392.0000,1.0000,36392.0000
Peak kW,15313722,165.8880 Estimate,0.0000 Estimate,165.8880,1.0000,165.8880
On Peak kW,15313722,165.8880 Estimate,0.0000 Estimate,165.8880,1.0000,165.8880
Off Peak kW,15313722,157.5940 Estimate,0.0000 Estimate,157.5940,1.0000,157.5940
