SITE NAME,"Cedarhurst of Shiloh, LLC-2638038010",,,12 MONTH HISTORY,,
SERVICE LOCATION,"429 S MAIN ST SHILOH, IL 62269-3080",,,,,
,2638038010,,,,,
,0041544129-0001,,,,,
kWh,"57,427.32",,,,,
SERVICE PERIOD,08/17/2017 to 09/15/2017,,,,,
PRODUCT,Index Solutions,,,,,
