Gas Meter Read for 07/07/2017 - 08/07/2017 (31 days),,,,,,
READ TYPE,METER NUMBER,CURRENT METER READ PREVIOUS METER READ,READ DIFFERENCE,MULTIPLIER,USAGE
Total Therm,01537420,131.0000 Actual,61.0000 Actual,70.0000,1.1130,77.9100
