71136,67998,59500,50930,84485,105116,71607,65801,48519,49181,57945,71591,64347
AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG
$79^{\circ}$,$76^{\circ}$,$68^{\circ}$,$57^{\circ}$,$38^{\circ}$,$34^{\circ}$,$41^{\circ}$,$47^{\circ}$,$57^{\circ}$,$62^{\circ}$,$72^{\circ}$,$77^{\circ}$,$76^{\circ}$
