Holdover Market Costs,Quantity,Contract/Market Rate,,Amount,
Market Energy Purchases,"65,336.54",kWh at 0.0281481,$\$ / \mathrm{kWh}$,"\$1,839.10",
Subtotal Holdover Market Costs,,,,"\$1,839.10",
Transaction Line Losses,Quantity,Contract/Market Rate,,Amount,
Line Losses on Market Purchases,"4,390.62",kWh at 0.0281481,$\$ / \mathrm{kWh}$,\$123.59,
Subtotal Transaction Line Losses,,,,\$123.59,
Contract Charges,Quantity,Contract/Market Rate,,Amount,
Retail Service Charge,"65,336.54",kWh at 0.0052500,$\$ / \mathrm{kWh}$,\$343.02,
Subtotal Contract Charges,,,,\$343.02,
Holdover Costs,Quantity,Contract/Market Rate,,Amount,
Capacity Charge $\$ / \mathrm{kW}$ Day 06/17/2017 - 07/18/2017 (PLC 133.533 kW x 32 Days ) x (Capacity Price $0.0015+$ ZDB 0$)$,"4,273.05",kWh at 0.0015000,$\$ / \mathrm{kWh}$,\$6.41,
Renewable Portfolio Standards Cost Charge 06/17/2017 - 06/30/2017,"26,711.21",kWh at 0.0001400,$\$ / \mathrm{kWh}$,\$3.74,
Renewable Portfolio Standards Cost Charge 07/01/2017 - 07/18/2017,"38,625.34",kWh at 0.0001398,$\$ / \mathrm{kWh}$,\$5.40,
Reliability Must Run Charge 06/17/2017 - 06/30/2017,"26,711.21",kWh at 0.0000000,$\$ / \mathrm{kWh}$,\$0.00,
Reliability Must Run Charge 07/01/2017 - 07/18/2017,"38,625.34",kWh at 0.0000000,$\$ / \mathrm{kWh}$,\$0.00,
Ancillary Services Charge 06/17/2017 - 06/30/2017,"26,711.21",kWh at 0.0072989,$\$ / \mathrm{kWh}$,\$194.96,
