Monthly XWh Use,,,,,
Dec,Jan,Feb,Mar,Apr,May,Jun
3760,4360,3520,4680,3880,2920,3240
Jul,Aug,Sep,Oct,Nov,Dec,
3520,4400,4360,3160,4160,4040,
