Monthly kWh Use - On Peak,,,,,
Dec,Jan,Feb,Mar,Apr,May
12480,13120,11840,12160,11840,13760
Jul,Aug,Sep,Oct,Nov,Dec
18880,19200,19200,16000,13120,14240
