Meter \# 2996882,Usage
"Actual reading Mar 31, 2022",1321
Less,1211
Difference,110
Converted to CCF $\times 1.012$,111.320
Converted to therms $\times 1.036$,115.328
Total gas you used in 29 days,115.328 therms
