Average Daily Electric Use (kWh),,,,,,,,,,,,
TIME PERIOD,,,,,,AVG. DAILY USE,,,,,,
CURRENT MONTH,,,,,,41.29 kWh,,,,,,
LAST MONTH,,,,,,48.00 kWh,,,,,,
LAST YEAR,,,,,,71.72 kWh,,,,,,
