2080,1920,1920,1760,1920,1760,2080,2240,2240,1440,1600,1440,1280
MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY
$58^{\circ}$,$72^{\circ}$,$74^{\circ}$,$76^{\circ}$,$75^{\circ}$,$66^{\circ}$,$47^{\circ}$,$39^{\circ}$,$29^{\circ}$,$24^{\circ}$,$39^{\circ}$,$44^{\circ}$,$63^{\circ}$
