40 <br> Ameren <br> ILLINOIS,f AmerenIllinois.com Customer Service 1.800.232.2477,Statement Issued,05/24/2022
Account Number,7038480020,,
Customer Name,MIDSTATE MANUFACTURING,Due Date,"Jun 7, 2022"
Service Address,1360 MUNMOUTH BLVD,,
,"GALESBURG, IL 61401",,
