Operating Systems:,"Windows® 2000, Windows® XP, Windows <br> Vista® Mac OS® X"
Browsers:,Final release versions of Internet Explorer® 6.0 <br> or above (Windows only); Mozilla Firefox 2.0 <br> or above (Windows and Mac); Safari ${ }^{\text {TM }} 3.0$ or <br> above (Mac only)
PDF Reader:,Acrobat® or similar software may be required <br> to view and print PDF files
Screen Resolution:,800 x 600 minimum
Enabled Security Settings:,Allow per session cookies
