Meter Number:,02027587
Read Cycle:,15
Read Dates:,$10 / 20 / 2023-11 / 21 / 2023$
Multiplier:,1.0000
Gas Pressure Factor:,1.000
Starting Read:,93541 Actual
Ending Read:,97231 Actual
Usage in CCF:,"3,690.00"
Conversion Factor:,1.0351 Therm $=1 \mathrm{Cc}$
Usage in Therms:,"3,819.51"
Next Meter Read:,$12 / 20 / 2023$
