"Reading Mar 24, 2022",4218
"Prior reading Mar 2, 2022",4106
Sub total,112
Converted to CCF $\times 1.012$,157.872
Converted to therms $\times 1.036$,163.555
Total gas you used,$\mathbf{1 6 3 . 5 5 5}$ therms
