,Jan,Feb,March,April,May,June,July,Aug,Sept,Oct,Nov,Dec
2020,,,,,,,19,319,299,338,251,238
2021,290,222,257,239,186,263,259,321,299,335,254,239
2022,292,222,257,231,191,263,243,,,,,
