Month,kWh
Oct-17,440313
Nov-17,453965
Dec-17,454986
Jan-18,673758
Feb-18,507294
Mar-18,504800
Apr-18,396297
May-18,440203
Jun-18,558180
Jul-18,532138
Aug-18,492612
Sep-18,542867
Oct-18,464766
