$01 / 11 / 2021$,$30 / 11 / 2021$,$\begin{aligned} & 153199.1 \\ & \text { KWh } \end{aligned}$,STD,"-£1,013.39"
Contracts for Difference - reconciliation,,,,
Forecast Passthrough charges previously,,,,STD,-£826.11
Involced (○) NBP,$01 / 09 / 2021$,$30 / 09 / 2021$,$\begin{aligned} & 122260.7 \\ & \text { KWh } \end{aligned}$,STD,£83.82
Estimate charges (○) NBP,$01 / 09 / 2021$,$30 / 09 / 2021$,$\begin{aligned} & 122260.7 \\ & \text { KWh } \end{aligned}$,STD,£83.82
