,Jan,Feb,March,April,May,June,July,Aug,Sept,Oct,Nov,Dec
$\mathbf{2 0 2 2}$,,,,,,,,,,,493,"1,250"
$\mathbf{2 0 2 3}$,"1,361","1,207","1,260","1,239","1,617","1,746","1,849","1,980","1,668","1,352","1,210","1,246"
$\mathbf{2 0 2 4}$,"1,361","1,248","1,247","1,260","1,627","1,743","1,875","1,972","1,649","1,346",715,
