Month-Year,Usage (kWh)
Nov 2022,9885
Dec 2022,11008
Jan 2023,10462
Feb 2023,10680
Mar 2023,10501
Apr 2023,10376
May 2023,9842
Jun 2023,9910
Jul 2023,10727
Aug 2023,10697
Sep 2023,10378
Oct 2023,10607
Nov 2023,10412
