Month-Year,Volume(kWh)
Aug 2022,760
Sep 2022,804
Oct 2022,798
Nov 2022,1051
Dec 2022,1509
January 2023,2588
February 2023,2565
March 2023,2149
April 2023,1781
May 2023,1539
June 2023,1717
July 2023,1768
August 2023,1624
