Month-Year,Volume (kWh)
Dec-2023,81+87+53 = 221
Jan-2024,79+85+51 = 215
Feb-2024,69+74+45 = 188
Mar-2024,66+72+43 = 181
Apr-2024,56+61+36 = 153
May-2024,51+55+33 = 139
Jun-2024,46+50+30 = 126
Jul-2024,49+53+32 = 134
Aug-2024,55+60+36 = 151
Sep-2024,61+66+39 = 166
Oct-2024,71+76+46 = 193
Nov-2024,75+81+49 = 205
Dec-2024,81+88+53 = 222
