Month-Year,Volume (kWh)
April-2023,7120
May-2023,5500
Jun-2023,4250
Jul-2023,2500
Aug-2023,1000
Sep-2023,900
Oct-2023,1100
Nov-2023,2900
Dec-2023,5000
Jan-2024,4950
Feb-2024,7500
Mar-2024,6960
Apr-2024,7920
