Month-Year,Usage (kWh)
Nov 2020,3088
Dec 2020,7363
Jan 2021,21004
Feb 2021,24144
Mar 2021,20588
Apr 2021,13849
May 2021,3498
Jun 2021,8983
Jul 2021,10042
Aug 2021,12273
Sep 2021,12735
Oct 2021,7455
Nov 2021,5074
