Period,Therms,Period,Therms,Period,Therms
Mar 22,"$45,660.40$",Nov 21,"$40,384.92$",Jul 21,"$15,514.13$"
Feb 22,"$52,483.10$",Oct 21,"$21,311.98$",Jun 21,"$15,622.29$"
Jan 22,"$65,483.05$",Sep 21,"$15,899.34$",May 21,"$24,236.33$"
Dec 21,"$46,392.59$",Aug 21,"$14,568.88$",Apr 21,"$30,678.08$"
