Monthly NWh Use,,,,,
Dec,Jan,Feb,Mar,Apr,May,Jun
11800,13840,14120,14120,12520,9320,10400
Jul,Aug,Sep,Oct,Nov,Dec,
13240,13760,11160,7520,9400,10880,
