Monthly service charge,$\$ 5.04$
Charges for delivering electric to you:,
Annual Demand,$1.400 \mathrm{~kW} \times \$ 5.307143$
The highest Measured Demand in any time period in the current month.,
Summer Demand,$1.400 \mathrm{~kW} \times \$ 10.042857$
The Measured Demand (excluding off-peak) in each billing month of June through September.,
kWh charges,442 kWh $\times \$ 0.011154$
Societal Benefits,442 kWh $\times \$ 0.010407$
"This charge recovers the cost of government mandated programs designed to achieve public policy goals, such as energy conservation.",$\$ 4.93$
Total electric delivery charges,$\$ 36.06$
Supply charges,
BGS Capacity,
Generation,$1.978 \mathrm{~kW} \times \$ 1.739130$
Transmission,$1.787 \mathrm{~kW} \times \$ 13.290431$
Cost of electric supplied by PSE\&G:,
Charges,
For the first,$132 \mathrm{kWh} \times \$ 0.073258$
For the next,$310 \mathrm{kWh} \times \$ 0.064548$
Total electric supply charges,$\$ 56.87$
