Monthly service charge,$\$ 5.04$
Charges for delivering electric to you:,
Annual Demand,"21,100 kW x \$5.302844 \$111.89"
The highest Measured Demand in any time period in the current month.,
"Summer Demand 21,100 kW x \$10.037915 \$211.80",
The Measured Demand (excluding off-peak) in each billing month of June through September.,
kWh charges,"7,272 kWh x \$0.011147 \$81.06"
Societal Benefits,"7,272 kWh x \$0.010413 \$75.72"
"This charge recovers the cost of government mandated programs designed to achieve public policy goals, such as energy consumption.",
Total electric delivery charges,$\$ 485.51$
Supply charges,
BGS Capacity,
"Generation 14,421 kW x \$1,741211 \$25.11",
"Transmission 13,026 kW x \$13,293413 \$173.16",
Cost of electric supplied by PSE\&G:,
Charges,
"For the first 2,181 kWh x \$0.073246 \$159.75",
"For the next 5,091 kWh x \$0.064563 \$328.69",
Total electric supply charges,$\$ 686.71$
Total electric charges,"\$1,172.22"
