Electric Delivery Service,,,,,,,
DS-2 Small General Delivery Service,,,,Service From,04/15/2020,to,05/14/2020
Smart Meter,,,,,,,
Customer Charge,,,,\$26.45,,,
Meter Charge,,,,\$8.32,,,
Distribution Delivery Charge Non-Summer,,"2,000.00",kWh,@,$\$ .02415000$,\$48.30,
Distribution Delivery Charge Non-Summer,,"4,480.00",kWh,@,$\$ .01237000$,\$55.42,
Total Delivery Service Amount,,,,,,\$138.49,
