Taxes,Service From,04/15/2020,to,05/14/2020,
Customer Generation Charge,"11,160.00 kWh",,,,
Clean Energy Assistance Charge,"11,160.00 kWh",,,,
Renewable Energy Adjustment,"11,160.00 kWh",,,,
EDT Cost Recovery,"11,160.00 kWh",,,,
Electric Environmental Adjustment,"11,160.00 kWh",,,,
Energy Efficiency Programs Charge,"11,160.00 kWh",,,,
Cahokia Municipal Tax,,,,,
Illinois State Electricity Excise Tax,,,,,
Total Tax Related Charges,,,,,
