Service To,,,,,SCHMMARY,,,Service To,
Total kWh,,05/14/2020,,33308.0000,On-Peak kWh,,05/14/2020,,12988.0000
Off-Peak kWh,,05/14/2020,,20320.0000,Peak kW,,05/14/2020,,74.7000
On-Peak kW,,05/14/2020,,74.7000,Off-Peak kW,,05/14/2020,,71.3000
12 Month Max Demand,,05/14/2020,,161.7000,,,,,
