47557-02113,"1401 MORNING STAR DR BLDG, EAST SAINT LOUIS, IL 62206",,,,,"May 18, 2020",,
TYPE OF READING,METER NUMBER,SERVICE <br> FROM,$\begin{gathered} \text { NO. } \\ \text { DAYS } \end{gathered}$,METER READING PRESENT,READING DIFFERENCE,METER <br> MULTIPLIER,THERM FACTOR,USAGE,$\begin{gathered} \text { R } \\ \text { D } \end{gathered}$
Total kWh,25634771,04/15-05/14 29,1181.0000,1274.0000,93.0000,120.0000,,11160.0000 A
,Service To,,,SUMMARY,,Service To,,
Total kWh,,05/14/2020,,11160.0000,Non-Summer kWh,,05/14/2020,11160.0000
